Order Date,Ship Date,Order ID,Sales Channel,Order Priority,Product ID,Product Category,Product Name,Unit Cost ($),Unit Price ($),Customer ID,Customer Name,Customer Segment,Country,Region,City,Quantity,Gross Sales ($),Discount %,Discount Amount ($),Net Sales ($),Total Cost ($),Gross Profit ($),Profit Margin %,Shipping Cost ($),Ship Mode,Delivery Status,Customer Rating
11-03-2025,18-03-2025,BE-10001,Distributor,Medium,PROD-COM-30,Computing,Titan Laptop,600.0,1299.0,CUST-202,Customer 202,Education,Australia,APAC,Sydney,8,10392.0,0.0%,0.00,10392.00,4800.00,5592.00,53.8%,19.43,Overnight,Delivered,5
17-02-2025,19-02-2025,BE-10002,In-Store,Medium,PROD-SMA-42,Smart Home,Omni Speaker,25.0,69.0,CUST-591,Customer 591,Consumer,Canada,NA,Toronto,11,759.0,0.0%,0.00,759.00,275.00,484.00,63.8%,23.54,Overnight,Delivered,5
25-05-2026,28-05-2026,BE-10003,Distributor,Low,PROD-AUD-60,Audio,Aero Headphones,80.0,199.0,CUST-662,Customer 662,Education,UK,EMEA,London,12,2388.0,5.0%,119.40,2268.60,960.00,1308.60,57.7%,37.87,Express,Delivered,5
30-03-2025,03-04-2025,BE-10004,In-Store,Medium,PROD-COM-90,Computing,Apex Desktop,750.0,1599.0,CUST-466,Customer 466,Corporate,Germany,EMEA,Berlin,6,9594.0,5.0%,479.70,9114.30,4500.00,4614.30,50.6%,15.33,Overnight,Delivered,4
26-09-2024,30-09-2024,BE-10005,Online,Medium,PROD-SMA-71,Smart Home,Omni Speaker,25.0,69.0,CUST-301,Customer 301,Corporate,India,APAC,Mumbai,8,552.0,0.0%,0.00,552.00,200.00,352.00,63.8%,22.74,Standard,Delivered,5
06-05-2026,13-05-2026,BE-10006,Distributor,High,PROD-AUD-20,Audio,Aero Headphones,80.0,199.0,CUST-164,Customer 164,Education,India,APAC,Mumbai,11,2189.0,0.0%,0.00,2189.00,880.00,1309.00,59.8%,33.83,Standard,Delayed,5
02-02-2024,03-02-2024,BE-10007,In-Store,High,PROD-WEA-53,Wearables,FitTrack Watch,50.0,149.0,CUST-879,Customer 879,Consumer,India,APAC,Mumbai,14,2086.0,10.0%,208.60,1877.40,700.00,1177.40,62.7%,58.31,Overnight,Delivered,4
25-07-2024,28-07-2024,BE-10008,Distributor,Low,PROD-MOB-86,Mobile,Alpha Lite,150.0,349.0,CUST-492,Customer 492,Education,USA,NA,New York,4,1396.0,15.0%,209.40,1186.60,600.00,586.60,49.4%,10.99,Standard,Delivered,3
08-06-2024,11-06-2024,BE-10009,In-Store,Medium,PROD-COM-37,Computing,Apex Desktop,750.0,1599.0,CUST-624,Customer 624,Corporate,USA,NA,New York,6,9594.0,0.0%,0.00,9594.00,4500.00,5094.00,53.1%,15.93,Express,Delayed,4
17-04-2025,20-04-2025,BE-10010,In-Store,Low,PROD-AUD-36,Audio,NeoBuds Pro,45.0,120.0,CUST-447,Customer 447,Consumer,Canada,NA,Toronto,7,840.0,0.0%,0.00,840.00,315.00,525.00,62.5%,25.22,Express,Delivered,3
25-10-2025,31-10-2025,BE-10011,Online,Medium,PROD-AUD-71,Audio,NeoBuds Pro,45.0,120.0,CUST-783,Customer 783,Corporate,Japan,APAC,Tokyo,3,360.0,0.0%,0.00,360.00,135.00,225.00,62.5%,8.56,Standard,Delivered,5
19-07-2025,20-07-2025,BE-10012,In-Store,Low,PROD-AUD-28,Audio,NeoBuds Pro,45.0,120.0,CUST-319,Customer 319,Corporate,Mexico,LATAM,Mexico City,7,840.0,5.0%,42.00,798.00,315.00,483.00,60.5%,29.99,Overnight,Delivered,5
02-06-2026,09-06-2026,BE-10013,Online,Low,PROD-COM-25,Computing,Pro Monitor 27,120.0,279.0,CUST-936,Customer 936,Education,UK,EMEA,London,3,837.0,5.0%,41.85,795.15,360.00,435.15,54.7%,12.10,Overnight,Delivered,5
13-05-2026,14-05-2026,BE-10014,Distributor,Critical,PROD-AUD-49,Audio,NeoBuds Pro,45.0,120.0,CUST-247,Customer 247,Consumer,India,APAC,Mumbai,9,1080.0,0.0%,0.00,1080.00,405.00,675.00,62.5%,32.62,Express,Delivered,5
15-09-2025,18-09-2025,BE-10015,Online,Low,PROD-SMA-11,Smart Home,Omni Speaker,25.0,69.0,CUST-445,Customer 445,Consumer,Canada,NA,Toronto,7,483.0,0.0%,0.00,483.00,175.00,308.00,63.8%,21.33,Overnight,Delayed,4
19-09-2025,20-09-2025,BE-10016,In-Store,Low,PROD-SMA-93,Smart Home,Beacon Camera,35.0,99.0,CUST-772,Customer 772,Corporate,Canada,NA,Toronto,9,891.0,0.0%,0.00,891.00,315.00,576.00,64.7%,22.34,Express,Delivered,4
09-06-2024,10-06-2024,BE-10017,Distributor,High,PROD-WEA-29,Wearables,Aura Smart Ring,70.0,199.0,CUST-780,Customer 780,Consumer,Mexico,LATAM,Mexico City,11,2189.0,0.0%,0.00,2189.00,770.00,1419.00,64.8%,30.75,Express,Delivered,5
13-03-2025,19-03-2025,BE-10018,In-Store,Medium,PROD-COM-30,Computing,Apex Desktop,750.0,1599.0,CUST-662,Customer 662,Education,Brazil,LATAM,Sao Paulo,5,7995.0,0.0%,0.00,7995.00,3750.00,4245.00,53.1%,17.49,Overnight,Delivered,1
07-08-2024,10-08-2024,BE-10019,Online,Medium,PROD-WEA-46,Wearables,Aura Smart Ring,70.0,199.0,CUST-271,Customer 271,Consumer,Australia,APAC,Sydney,12,2388.0,15.0%,358.20,2029.80,840.00,1189.80,58.6%,34.60,Standard,Delivered,4
07-05-2024,10-05-2024,BE-10020,In-Store,Critical,PROD-MOB-63,Mobile,Quantum Phone X,400.0,899.0,CUST-422,Customer 422,Corporate,Mexico,LATAM,Mexico City,6,5394.0,0.0%,0.00,5394.00,2400.00,2994.00,55.5%,16.57,Express,Delayed,5
21-03-2026,25-03-2026,BE-10021,Distributor,Medium,PROD-WEA-35,Wearables,Aura Smart Ring,70.0,199.0,CUST-492,Customer 492,Consumer,Mexico,LATAM,Mexico City,7,1393.0,5.0%,69.65,1323.35,490.00,833.35,63.0%,30.76,Standard,Delivered,4
01-06-2026,04-06-2026,BE-10022,Distributor,Medium,PROD-SMA-75,Smart Home,Beacon Camera,35.0,99.0,CUST-753,Customer 753,Education,USA,NA,Los Angeles,14,1386.0,0.0%,0.00,1386.00,490.00,896.00,64.7%,52.81,Express,Delivered,1
23-02-2024,26-02-2024,BE-10023,Online,Medium,PROD-WEA-17,Wearables,FitTrack Watch,50.0,149.0,CUST-882,Customer 882,Consumer,Japan,APAC,Tokyo,13,1937.0,0.0%,0.00,1937.00,650.00,1287.00,66.4%,42.04,Overnight,Delivered,5
04-01-2025,07-01-2025,BE-10024,Distributor,Medium,PROD-COM-72,Computing,Titan Laptop,600.0,1299.0,CUST-368,Customer 368,Education,UK,EMEA,London,10,12990.0,20.0%,2598.00,10392.00,6000.00,4392.00,42.3%,45.08,Standard,Delivered,2
27-05-2025,30-05-2025,BE-10025,Online,High,PROD-AUD-10,Audio,NeoBuds Pro,45.0,120.0,CUST-733,Customer 733,Education,USA,NA,Los Angeles,13,1560.0,0.0%,0.00,1560.00,585.00,975.00,62.5%,35.66,Overnight,Delivered,1
09-03-2024,10-03-2024,BE-10026,In-Store,High,PROD-SMA-85,Smart Home,Omni Speaker,25.0,69.0,CUST-319,Customer 319,Consumer,India,APAC,Mumbai,14,966.0,0.0%,0.00,966.00,350.00,616.00,63.8%,44.74,Express,Delayed,5
10-08-2024,11-08-2024,BE-10027,Online,Medium,PROD-COM-10,Computing,Apex Desktop,750.0,1599.0,CUST-279,Customer 279,Education,UK,EMEA,London,12,19188.0,5.0%,959.40,18228.60,9000.00,9228.60,50.6%,57.85,Express,Delivered,3
02-03-2025,08-03-2025,BE-10028,In-Store,Medium,PROD-COM-42,Computing,Titan Laptop,600.0,1299.0,CUST-790,Customer 790,Consumer,Canada,NA,Toronto,14,18186.0,0.0%,0.00,18186.00,8400.00,9786.00,53.8%,31.97,Overnight,Delivered,5
24-08-2025,27-08-2025,BE-10029,In-Store,Medium,PROD-COM-16,Computing,Titan Laptop,600.0,1299.0,CUST-704,Customer 704,Consumer,India,APAC,Mumbai,8,10392.0,10.0%,1039.20,9352.80,4800.00,4552.80,48.7%,35.28,Standard,Delivered,4
08-01-2026,15-01-2026,BE-10030,Distributor,Critical,PROD-SMA-33,Smart Home,Beacon Camera,35.0,99.0,CUST-291,Customer 291,Consumer,Brazil,LATAM,Sao Paulo,7,693.0,10.0%,69.30,623.70,245.00,378.70,60.7%,29.85,Standard,Delivered,4
29-05-2026,01-06-2026,BE-10031,Online,Low,PROD-WEA-28,Wearables,FitTrack Watch,50.0,149.0,CUST-695,Customer 695,Consumer,Canada,NA,Toronto,12,1788.0,0.0%,0.00,1788.00,600.00,1188.00,66.4%,58.44,Overnight,Returned,4
23-05-2024,26-05-2024,BE-10032,Distributor,Medium,PROD-COM-61,Computing,Titan Laptop,600.0,1299.0,CUST-466,Customer 466,Consumer,India,APAC,Mumbai,7,9093.0,0.0%,0.00,9093.00,4200.00,4893.00,53.8%,24.38,Overnight,Returned,2
02-08-2024,05-08-2024,BE-10033,Online,High,PROD-COM-85,Computing,Apex Desktop,750.0,1599.0,CUST-262,Customer 262,Consumer,USA,NA,Los Angeles,7,11193.0,0.0%,0.00,11193.00,5250.00,5943.00,53.1%,18.67,Standard,Delivered,5
29-01-2024,30-01-2024,BE-10034,In-Store,High,PROD-COM-74,Computing,Titan Laptop,600.0,1299.0,CUST-616,Customer 616,Education,India,APAC,Mumbai,13,16887.0,10.0%,1688.70,15198.30,7800.00,7398.30,48.7%,40.67,Overnight,Delivered,4
31-03-2024,02-04-2024,BE-10035,Online,Low,PROD-COM-76,Computing,Pro Monitor 27,120.0,279.0,CUST-266,Customer 266,Corporate,UK,EMEA,London,9,2511.0,10.0%,251.10,2259.90,1080.00,1179.90,52.2%,36.39,Express,Delivered,4
03-04-2026,06-04-2026,BE-10036,Online,Critical,PROD-WEA-67,Wearables,Aura Smart Ring,70.0,199.0,CUST-508,Customer 508,Consumer,India,APAC,Mumbai,6,1194.0,15.0%,179.10,1014.90,420.00,594.90,58.6%,28.54,Overnight,Delivered,2
20-08-2024,22-08-2024,BE-10037,In-Store,Medium,PROD-AUD-63,Audio,NeoBuds Pro,45.0,120.0,CUST-146,Customer 146,Education,Canada,NA,Toronto,12,1440.0,20.0%,288.00,1152.00,540.00,612.00,53.1%,26.08,Express,Delivered,5
01-05-2024,03-05-2024,BE-10038,In-Store,Medium,PROD-MOB-67,Mobile,Alpha Lite,150.0,349.0,CUST-107,Customer 107,Consumer,Canada,NA,Toronto,6,2094.0,0.0%,0.00,2094.00,900.00,1194.00,57.0%,17.04,Standard,Delivered,5
